Provincia,Partido ,Localidad,ADSL,CABLEMODEM,DIALUP,FIBRAOPTICA,4G,3G,TELEFONIAFIJA,WIRELESS,SATELITAL,conectividad
ENTRE RIOS,Paraná,La Picada,0,0,0,1,0,1,1,0,0,SI
ENTRE RIOS,,Paraná,1,1,0,1,1,1,0,1,0,SI
NEUQUEN,,Mariano Moreno,1,0,0,0,0,0,0,1,0,SI
NEUQUEN,,Zapala,1,0,0,1,1,1,0,1,1,SI
RIO NEGRO,25 de Mayo,Aguada de Guerra,0,0,0,0,0,0,0,1,0,SI
RIO NEGRO,25 de Mayo,El Caín,0,0,0,0,0,0,1,0,1,SI
RIO NEGRO,25 de Mayo,Maquinchao,0,0,0,0,0,0,1,0,1,SI
RIO NEGRO,,Pilquiniyeu,0,0,0,0,0,0,0,0,0,NO
RIO NEGRO,9 de Julio,Ministro Ramos Mexía,0,0,0,1,0,0,0,0,1,SI
LA PAMPA,Guatraché,General Manuel J. Campos,0,0,0,1,0,0,1,0,0,SI
LA PAMPA,Hucal,Bernasconi,0,0,0,1,0,1,1,1,1,SI
LA PAMPA,,Cuchillo Co,0,0,0,1,1,0,0,0,0,SI
LA PAMPA,Loventué,Loventué,0,0,0,1,0,0,1,0,0,SI
LA PAMPA,,Dorila,0,0,0,1,0,0,0,0,0,SI
LA PAMPA,,Trebolares,0,0,0,0,0,0,0,0,0,NO
LA PAMPA,Puelén,25 de Mayo,0,0,0,1,0,1,1,1,0,SI
LA PAMPA,,Colonia San José,0,0,0,0,0,0,0,0,0,NO
MENDOZA,San Carlos,Chilecito,0,0,0,0,0,1,0,0,0,SI
MENDOZA,,Pareditas,0,0,0,1,1,1,0,1,0,SI
MENDOZA,San Martín,Alto Salvador,0,0,0,1,0,0,0,0,0,SI
MENDOZA,,Barrio Chivilcoy,0,0,0,0,0,0,0,0,0,NO
MENDOZA,San Martín,Barrio Ntra. Sra. De Fátima,0,0,0,0,0,1,0,0,0,SI
MENDOZA,San Martín,El Espino,0,0,0,0,0,0,0,1,0,SI
MENDOZA,San Martín,Nueva California,0,0,0,0,0,0,0,0,0,NO
MENDOZA,,El Zampal,0,0,0,0,1,0,0,0,0,SI
MENDOZA,Santa Rosa,Barrio Molina Cabrera,0,0,0,0,0,0,0,0,0,NO
MENDOZA,,Las Catitas,0,0,0,0,1,1,0,1,0,SI
MENDOZA,,El Manzano,0,0,0,0,1,1,0,0,0,SI
MENDOZA,Tupungato,Barrio Belgrano Norte,0,0,0,0,0,0,0,0,0,NO
MENDOZA,,El Peral,0,0,0,0,0,0,0,0,0,NO
CORDOBA,San Justo,Miramar,0,1,0,0,0,1,1,1,0,SI
CORDOBA,,Porteña,1,0,0,1,1,1,0,1,0,SI
CORDOBA,San Justo,Seeber,0,0,0,0,0,0,0,0,0,NO
CORDOBA,San Justo,Toro Pujio,0,0,0,0,0,0,1,0,0,SI
CORDOBA,,Villa Concepción del Tío,0,1,0,0,1,1,0,0,0,SI
CORDOBA,Santa María,Alta Gracia,0,1,0,1,0,1,1,0,0,SI
CORDOBA,,Barrio Villa del Parque,0,0,0,0,0,0,0,0,0,NO
CORDOBA,Santa María,Caseros Centro,0,0,0,0,0,0,0,0,0,NO
CORDOBA,,Costa Azul,0,0,0,0,1,1,0,0,0,SI
CORDOBA,Río Primero,Plaza de Mercedes,0,0,0,0,0,0,0,0,0,NO
CORDOBA,,Santa Rosa de Río Primero,1,0,0,1,1,1,0,1,0,SI
CORDOBA,Río Primero,Villa Fontana,0,0,0,1,0,0,1,1,0,SI
CORDOBA,,Chañar Viejo,0,0,0,0,0,0,0,0,0,NO
